"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Macf1",38042.2482019958,0.211594597094393,0.021352161125513,9.90975086084217,3.77586548115564e-23,2.09672905602133e-22
"Ppie",885.463405072399,0.186710755608631,0.0711394950818614,2.62457240375097,0.00867578445961056,0.017755901855988
"Trit1",654.774027864864,-0.121692600123685,0.0796016700050708,-1.52876943556501,0.126321611946626,0.202669838947334
"Mycl",159.954091452935,-1.19365434102316,0.171893833181229,-6.94413708119868,3.80780621783208e-12,1.48276264291196e-11
"Mfsd2a",195.604395468962,2.23865096217075,0.154417437142658,14.497397467506,1.25831001670157e-47,1.13348727626275e-46
"Cap1",11099.8488789243,0.282126318572828,0.0278136210590319,10.1434587741754,3.5432709570303e-24,2.02354341371271e-23
"Ppt1",1675.33753777936,-0.379077097939878,0.0538705981171605,-7.03680878232393,1.96692483215496e-12,7.76137906742227e-12
"Eloa",3478.56554890183,0.282603673328454,0.0376893167506463,7.49824347302894,6.46786808827593e-14,2.70053010393307e-13
"Pithd1",1678.44999689418,0.187159999009983,0.0537358346308111,3.48296439975027,0.00049589430389629,0.0011837442965075
"Lypla2",2452.21787944082,0.0983103777937714,0.0432332255771866,2.27395426737828,0.0229687363411832,0.0437133119938347
"Gale",1637.00347027657,1.65971153716839,0.0597383992650564,27.7829931432265,6.96296255222146e-170,1.86820107427383e-168
"Hmgcl",1354.9905512441,-0.1916276546943,0.0581774437279325,-3.29384796606825,0.000988259360878088,0.00228765813548676
"Fuca1",2496.97708725181,0.102826646093865,0.0453864870918696,2.26557842834868,0.0234772070857047,0.0445979658765617
"Pnrc2",3974.26976883195,-0.0856967524796896,0.0349897110250879,-2.44919863494284,0.0143174466240556,0.0282652972074165
"Srsf10",9743.51058401397,0.0570746506182117,0.0284237816094875,2.00798934506171,0.0446444239240377,0.0802001619932937
"Rnf220",2921.53316976022,0.0253129886867107,0.0413309310602787,0.612446611710568,0.540242310547885,0.661915323980091
"Kif2c",3888.52859526303,0.54462459543104,0.0351415798414285,15.4980111278031,3.57797350413016e-54,3.52683718837627e-53
"Plk3",748.945707271129,0.852276575300555,0.0754134902656674,11.3013808576973,1.29170735244477e-29,8.38416515945963e-29
"Ptch2",1.68000365032206,-0.41698326261185,1.49398112414242,-0.279108789176442,0.780161338275004,0.852710651755433
"Eif2b3",908.633554167213,0.363869050073724,0.0709035212649469,5.13188969436435,2.86847597034823e-07,8.77838760273712e-07
"Urod",1643.5729486419,-0.312194188883824,0.0522387062009268,-5.97630017257749,2.28262239143855e-09,7.84747428885387e-09
"Mutyh",357.146619294118,0.640254916250926,0.111671497885729,5.73337806309433,9.84498512190857e-09,3.27593081960918e-08
"Toe1",799.836634258683,0.337957035672054,0.0734851652848175,4.59898313301988,4.24558150677554e-06,1.19966890283199e-05
"Ccdc163",495.306036410887,0.669800934196753,0.0903217953152549,7.41571767765368,1.2096794204128e-13,5.00431133184204e-13
"Mmachc",1169.35956453438,0.493600858475554,0.0606733836891652,8.13537713677405,4.10657924786014e-16,1.86003883579548e-15
"Prdx1",25210.9228860783,0.681002565280698,0.0263886562664658,25.8066404899178,7.46886347362011e-147,1.75842854807199e-145
"Akr1a1",17317.0666823667,-0.0198383914342836,0.0221689559611302,-0.894872607851586,0.370855191112993,0.496682637418664
"Nasp",7481.32818470453,0.157829240761931,0.0354015112217421,4.45826280616514,8.26265604027106e-06,2.28536792236996e-05
"Ipp",1161.50760763421,0.0917291584366757,0.0673846679388657,1.36127640370502,0.173426356965573,0.266620048547962
"Pik3r3",624.278189515649,0.110536443558562,0.0877265025953651,1.2600119723045,0.207665043358197,0.310820186051504
"Tspan1",14.2818109479922,0.165522459574743,0.51851667618594,0.319223020544449,0.749557401586128,0.831182117639698
"Pomgnt1",3040.03684380738,0.191677715443625,0.0394842244800908,4.85453919806062,1.2066700096551e-06,3.54975382664991e-06
"Lurap1",305.442535724609,-1.06666396798155,0.12180786314265,-8.75693851334019,2.00625025601696e-18,9.77221203559043e-18
"Rad54l",1584.85461587562,0.395353661774518,0.0559417755948812,7.06723477348283,1.58051432838638e-12,6.25859178574133e-12
"Lrrc41",3657.52982953732,-0.123293168147952,0.0402549823955463,-3.06280516872348,0.00219272771598175,0.00487793509113819
"Nsun4",779.628438197366,-0.0936286994622015,0.0715642298785139,-1.30831701285885,0.190765807049599,0.289515923435922
"Dmbx1",3.01125689884134,3.23215993338589,1.41787206083103,2.27958503639002,0.0226323112697457,0.0431314533470896
"Mknk1",1926.1874283192,-0.514701396912877,0.0542141266089148,-9.49386127025131,2.2263126970731e-21,1.18001920511531e-20
"Mob3c",500.949215185631,-0.187441336202904,0.0901497907757041,-2.07922097866278,0.0375970442982107,0.0686201756636877
"Atpaf1",815.89454928425,0.215207079280436,0.0766345166113894,2.80822648587637,0.00498151785347589,0.0105654605619802
"Cyp4b1",9.20178603186247,-0.774221816394801,0.669736938845108,-1.15600883196,0.24767754444155,0.359693961324365
"Stil",2444.29468089583,0.431446860667102,0.043896399052357,9.82875292691999,8.46606066378612e-23,4.64610466108292e-22
"Cmpk1",4714.63811623451,0.335900410073052,0.0341043110977088,9.84920672083649,6.90870957972103e-23,3.80258081249566e-22
"Ebna1bp2",2931.10466297323,0.0561262119009135,0.0445129605921047,1.26089595377012,0.207346336205038,0.310446495520681
"Cfap57",1.42019335188509,-2.00068612091781,1.85848052260152,-1.07651713138066,0.281696043401253,0.398744260880998
"Pax7",48.4713258362203,3.6724524871209,0.386681556279467,9.49735622887249,2.15286527864335e-21,1.14216665703202e-20
"Aldh4a1",485.281417500582,-0.283108040227967,0.0920599517767744,-3.075257316172,0.00210321013624435,0.00468667757218215
"Mrto4",2020.01307855768,0.647532388499955,0.052946299340938,12.2299838999188,2.14981240887942e-34,1.54626942422409e-33
"Akr7a5",1060.99176880239,0.0132892386118385,0.0658580891810286,0.20178597309906,0.84008404783217,0.895484271154341
"Slc66a1",446.122835235836,0.748431598724724,0.0979981468038264,7.63720155058586,2.2199384861505e-14,9.41578889315371e-14
"Capzb",11563.2601832978,0.298882434795139,0.0247770290244331,12.0628843151616,1.65870372798329e-33,1.17020064700271e-32
"Htr6",78.348214069993,3.3571575491645,0.289226559246333,11.6073626084429,3.78098398940117e-31,2.53236949710146e-30
"Pla2g2e",5.327195370822,-0.43672775798645,0.915085552465802,-0.477253472978169,0.633181637859327,0.743185213281953
"Cda",128.269791759912,-0.387568288699301,0.184132828387514,-2.10482993224679,0.0353061146476056,0.0648494960980936
"Pink1",1450.3130935597,-0.95921153987634,0.0648930926572904,-14.7814120208767,1.93075564102325e-49,1.79681745996551e-48
"Ddost",12992.8909612066,-0.118256888824812,0.0272280082160481,-4.34320747542276,1.40417408132555e-05,3.82359816452993e-05
"Kif17",24.4941924113898,-0.238803961881685,0.405149922543418,-0.589421220625047,0.555578744716986,0.675405920314502
"Hp1bp3",13022.3673319649,0.117729942844607,0.0244137954054384,4.82227121549407,1.41932779408295e-06,4.1509061032988e-06
