"","logFC","AveExpr","t","P.Value","adj.P.Val","B","significant"
"Cfap20",0.766099747609969,5.84989847472533,25.951505823754,3.83407263356382e-13,4.00117648258931e-12,19.9404846636371,"up"
"Gpc1",-0.767910292170411,6.78774948554678,-25.9133323191398,3.91154107549116e-13,4.07660320517654e-12,19.9192221783249,"down"
"Xpnpep1",0.526247718977878,7.92106657032597,25.9129714068353,3.91228145199931e-13,4.07660320517654e-12,19.9190210060996,"stable"
"Prc1",0.742508979353855,7.51002481189541,25.8876174641832,3.96467003297848e-13,4.12806249494365e-12,19.9048819051893,"up"
"Tpm3",0.479157737548409,8.83550352069646,25.8747119142008,3.99162468832824e-13,4.15298181047565e-12,19.8976797032566,"stable"
"Arfgap1",-0.685723755589597,6.99463827964939,-25.8673703476465,4.00704586580424e-13,4.16298454689137e-12,19.8935810330385,"down"
"Ubl3",0.753509678959678,6.4830252072092,25.8672511931021,4.00729667894156e-13,4.16298454689137e-12,19.8935145017661,"up"
"Tonsl",0.836257825188524,5.71871787489831,25.8541600066821,4.03495548683848e-13,4.18855197969094e-12,19.8862030732591,"up"
"Tmem132a",-0.822817967297587,6.01225614649979,-25.8454808140894,4.0534053629771e-13,4.20452855160432e-12,19.8813537560681,"down"
"Kif21a",0.734127707620947,6.01774307365949,25.8292923651403,4.08805993715747e-13,4.23727720786518e-12,19.8723045606327,"up"
"Mfhas1",1.0767720720243,5.02716304923916,25.822673293521,4.10232062628571e-13,4.24885415882975e-12,19.8686029692862,"up"
"Tspo",0.904117608368007,7.00777542905173,25.8190424776752,4.11016577985735e-13,4.25377398180417e-12,19.8665721114255,"up"
"Rnf141",0.681850364716747,6.24643599540318,25.8146309479627,4.11971945678538e-13,4.26045328924442e-12,19.8641041954528,"up"
"Ssr2",-0.553551499548334,7.71573031173466,-25.8094372648522,4.1309974632886e-13,4.26890444627358e-12,19.8611981977181,"stable"
"Cyp2d22",1.96370629995688,3.3021758625185,25.7722523195624,4.21271612491442e-13,4.35008042230081e-12,19.840375631237,"up"
"Apcdd1",-1.77973323370135,3.66708848430319,-25.7633348962222,4.23256952774192e-13,4.36729996916554e-12,19.8353777670702,"down"
"Cdc27",0.601062081071852,7.41820103140062,25.7508068564788,4.26063089242612e-13,4.39295656305361e-12,19.8283534495383,"up"
"Coq10b",1.29469232303044,5.00740117217106,25.7464726387671,4.27038536757046e-13,4.39971338020153e-12,19.8259225326121,"up"
"Psip1",0.738174343825387,7.56151705812667,25.7154043616846,4.34101075857814e-13,4.46912748059161e-12,19.8084857123201,"up"
"Rxra",-1.1603262958173,5.6540046739542,-25.7024065418844,4.37092797616533e-13,4.49655943895331e-12,19.8011847071358,"down"
"Plscr3",-0.669008930979149,6.47289839082654,-25.6987118724812,4.37947227705801e-13,4.50197957934819e-12,19.7991087186285,"down"
"Fbxo44",-1.63524542667409,3.84190228245586,-25.6867485123455,4.40726170525006e-13,4.52716030470529e-12,19.7923846629752,"down"
"Pcyt2",0.843527652945592,6.38100146641535,25.6640717024623,4.46045668617329e-13,4.57838063441118e-12,19.7796307024319,"up"
"Rassf5",-2.31643390753849,2.83004117089294,-25.6445249240713,4.50686110711633e-13,4.62255963106021e-12,19.7686283417528,"down"
"Ppp1r2",0.673996708069009,6.55709291072768,25.6346920109026,4.53039981729931e-13,4.64323751595539e-12,19.7630905721583,"up"
"Vps37a",0.780450704958968,6.61500906312429,25.6245425249124,4.55483448736992e-13,4.66480217544055e-12,19.7573723451184,"up"
"Ramp1",-1.84095237947323,3.33387119093574,-25.6047235153118,4.60295610062478e-13,4.7105754763207e-12,19.7461999477116,"down"
"Tob1",0.824570155380087,5.96984718187702,25.594903764973,4.62700040544418e-13,4.73000167943069e-12,19.7406612287025,"up"
"Dennd4a",-0.93354543012563,5.3092218145299,-25.5941622559832,4.62882149216696e-13,4.73000167943069e-12,19.7402429050246,"down"
"Zfpm1",-0.691224774527307,6.97935387309635,-25.5884281553891,4.64292992550771e-13,4.7408936772792e-12,19.7370076033983,"down"
"Lamp2",-0.562974321822636,8.44140882748785,-25.5635300021872,4.70472666160399e-13,4.80042785724464e-12,19.7229513522374,"stable"
"Il18rap",-1.18799097683527,4.49803277216486,-25.5621069637886,4.70828512089265e-13,4.80049485916533e-12,19.7221475737907,"down"
"Gna12",0.596425914113463,7.25438526340516,25.5580316580354,4.71849181158415e-13,4.80733517112028e-12,19.7198454675577,"up"
"Actn4",0.436881476276198,9.54478681496615,25.5302051704234,4.78882017556967e-13,4.87537366615034e-12,19.7041169700788,"stable"
"Rab2a",0.545608513386887,7.8954255199402,25.5176788271861,4.82084472431638e-13,4.90434418142149e-12,19.6970312038764,"stable"
"Dusp8",1.64178628747067,3.59027963795246,25.5130301843447,4.83278760866687e-13,4.91285746253828e-12,19.6944007494429,"up"
"Psmb3",0.704282119726853,7.06845113221369,25.4973516357116,4.8733017298432e-13,4.94905782957797e-12,19.6855255380675,"up"
"Acaa2",-0.664459191769313,6.80984405850773,-25.4964665109331,4.87559975352778e-13,4.94905782957797e-12,19.685024334142,"down"
"Fkbp9",-0.598140754398127,7.76464840359228,-25.4928449948874,4.88501428326551e-13,4.95175071892301e-12,19.6829734661998,"down"
"Tigar",1.23857695721748,4.34249062464426,25.4926743537779,4.88545836354744e-13,4.95175071892301e-12,19.6828768249914,"up"
"Serp1",-0.466655870089965,8.80467229362509,-25.4872144914678,4.89969007547031e-13,4.96251587304819e-12,19.6797843442222,"stable"
"Abca7",0.999984068060782,5.67146550400386,25.4844891534652,4.90681056261967e-13,4.96606806867782e-12,19.678240464426,"up"
"Gxylt2",-0.545572279126157,7.58336673746721,-25.4535303505575,4.98847896656808e-13,5.04201480426151e-12,19.66069130103,"stable"
"Usp43",1.43401705171251,4.17807274973118,25.4532639126964,4.98918810666157e-13,5.04201480426151e-12,19.6605401792643,"up"
"Cd24a",3.23079370783607,2.18132579359359,25.4500321471062,4.99779824185969e-13,5.04700507245552e-12,19.6587070210704,"up"
"Elfn2",1.94134083721012,4.07878214527088,25.4061645305085,5.11625822801239e-13,5.16283796518373e-12,19.633801536681,"up"
"Spsb1",-0.727046854337874,5.99198598117991,-25.392459838492,5.15387991382554e-13,5.19698646629628e-12,19.6260122401526,"down"
"Heg1",0.478368013901163,8.88901461156362,25.3908684112114,5.15826780817203e-13,5.19759770934871e-12,19.6251074604509,"stable"
"Rad21",0.481758463630675,9.16835914292766,25.3814608416813,5.18428827246487e-13,5.21998959829723e-12,19.6197578161302,"stable"
"Lin54",0.87074906986301,5.83984051087136,25.3695800487185,5.21735044036906e-13,5.24721002694734e-12,19.612999011585,"up"
"Ormdl3",-0.836638129448884,5.80089058607901,-25.3690043732577,5.21895816853682e-13,5.24721002694734e-12,19.6126714403486,"down"
"Ftl1",0.644674984288926,9.06922667894988,25.3408688021888,5.29818448062042e-13,5.32297130859993e-12,19.5966529099064,"up"
"Kank3",1.911476216348,3.76468762053823,25.3306821294307,5.32718560386312e-13,5.34819860770597e-12,19.5908490322059,"up"
"Rab3b",2.98462679133874,2.48909867467203,25.3243423983322,5.34532038692185e-13,5.36248783925941e-12,19.5872358125482,"up"
"Arl6ip1",0.544904262421448,7.46341734415409,25.3204242713449,5.35656122006489e-13,5.36984517932691e-12,19.5850023047102,"stable"
"Fbln2",-0.465115868878914,9.86408988484089,-25.2887406195689,5.44839472153569e-13,5.4579254411652e-12,19.5669288599166,"stable"
"ENSMUSG00000121093",-1.00352461564586,5.75243369735194,-25.2748639251984,5.48914519146676e-13,5.49474228051851e-12,19.5590061888199,"down"
"Fam43a",-1.38093344044321,4.70601279043368,-25.2464286304996,5.57367173731916e-13,5.57529434917864e-12,19.5427583167296,"down"
"Plpp3",-3.02194650315753,2.17594802123924,-25.2219701878682,5.64749196035375e-13,5.64502760022559e-12,19.5287685861433,"down"
"Colgalt1",-0.614294375925389,7.28478169327215,-25.2054265799516,5.69801682253289e-13,5.69139122157645e-12,19.5192985088978,"down"
"Tmem119",-2.18736740608369,3.16989116981405,-25.2036039243543,5.70361281582502e-13,5.69284346700793e-12,19.5182547949044,"down"
"Cemip2",0.611405415824562,6.76301476489502,25.1963015820498,5.72609185775386e-13,5.71113254665958e-12,19.5140724925985,"up"
"Ttc39b",0.573996128403559,7.2099636974615,25.1932985804104,5.7353636067395e-13,5.71623186446901e-12,19.5123522288803,"stable"
"Rngtt",0.996841407744257,5.07814692788406,25.1875966856402,5.7530124380457e-13,5.7296668803261e-12,19.5090853614663,"up"
"Cxcl1",-3.97289211850529,2.58635304724294,-25.1727244759954,5.79931996686534e-13,5.77160417267178e-12,19.5005610356002,"down"
"Brdt",-3.40738004058429,1.21681825624236,-25.157914538908,5.84583041846092e-13,5.81368258113798e-12,19.492067542569,"down"
"Ablim3",2.58466914339892,2.48002048559829,25.1294719274349,5.93627799625997e-13,5.89936404776551e-12,19.4757420957517,"up"
"Tln2",-0.847114287066127,6.10246036972868,-25.1184298018154,5.97179474980001e-13,5.93037189604417e-12,19.4693993196861,"down"
"Slc25a27",-1.82425643881757,3.37556647484214,-25.1130193424168,5.98928036585945e-13,5.94344183020739e-12,19.4662904760881,"down"
"Osbp2",3.02948162454529,1.58157237935599,25.0915965693531,6.05905499062025e-13,6.00834428507105e-12,19.4539745899826,"up"
"P3h1",-0.688367678116513,6.64693968725187,-25.0871896963381,6.07351595551427e-13,6.01834198216209e-12,19.4514398267983,"down"
"Actg1",0.537915926105525,10.7987904254688,25.0851446815929,6.08023913296599e-13,6.02066330284471e-12,19.4502634200927,"stable"
"Akt3",1.85776954234019,4.15247560432469,25.0815684669373,6.09201543302127e-13,6.02661683762312e-12,19.4482059579711,"up"
"Synj2",-0.75462191939078,6.48866684514543,-25.0806568055,6.09502139427833e-13,6.02661683762312e-12,19.447681416828,"down"
"Zfp945",-1.23960135984708,4.81802697017212,-25.071697984724,6.12464535074914e-13,6.05155468732539e-12,19.4425258103312,"down"
"Chka",-0.81819351977749,5.94638289338326,-25.0670225143731,6.14016682585545e-13,6.06253253265498e-12,19.4398344688625,"down"
"Or5m3b",1.10278236170317,5.0876395587136,25.0225952346966,6.28977429427504e-13,6.20579022975708e-12,19.4142364581675,"up"
"Cpq",-1.91255255809879,4.5071026671133,-25.0058242129894,6.34726088099991e-13,6.25801675383521e-12,19.404561902316,"down"
"Sp9",2.87340313804668,2.57587899420292,24.9715675838862,6.46643905096878e-13,6.36663521680077e-12,19.3847809992098,"up"
"H2-K1",1.02165872868429,5.88508713377797,24.971495332461,6.46669292975398e-13,6.36663521680077e-12,19.3847392510535,"up"
"Adamts10",-0.946850121823117,5.31146501562255,-24.9637871032952,6.49383969139326e-13,6.38878544871217e-12,19.3802846262531,"down"
"Ppp1ccb",1.24603535354382,4.33543686034183,24.9520561447861,6.53538807379888e-13,6.42506249544291e-12,19.3735026850056,"up"
"Prr5l",1.65230209334516,3.62935451863881,24.9470442860779,6.55322563078445e-13,6.43799378624028e-12,19.3706042695212,"up"
"Adamts1",0.974373825506026,6.75316448295933,24.9419813643192,6.571297862228e-13,6.44416591096855e-12,19.3676757502519,"up"
"Glipr2",-1.24459097570722,4.3534777096408,-24.9415918447089,6.57269047160497e-13,6.44416591096855e-12,19.3674504185848,"down"
"Spg20",-0.77256980375654,6.02106576822692,-24.9413446612857,6.57357436494317e-13,6.44416591096855e-12,19.3673074246487,"down"
"Epha2",0.73958421701717,7.7249281623025,24.9075339869827,6.69568428615321e-13,6.55919350170276e-12,19.3477352167967,"up"
